"command","description","type","unit","min","max","default","io"
"/asynth/trigger1","","boolean","","0","1","","o"
"/asynth/trigger2","","boolean","","0","1","","o"
"/asynth/cv1","CV 1 value","float","","0","1","","o"
"/asynth/cv2","CV 2 value","float","","0","1","","o"
"/asynth/cv3","CV 3 value","float","","0","1","","o"
"/asynth/cv4","CV 4 value","float","","0","1","","o"
"/asynth/midi/noteON","note on: channel, pitch, velocity","i,i,i","","0","127","","o"
"/asynth/midi/noteOFF","note off: channel, pitch","i,i","","0","127","","o"
"/asynth/midi/PC","program change: channel, program","i,i","","0","127","","o"
"/asynth/midi/CC","control change: channel, number, value","i,i,i","","0","127","","o"
"/asynth/ping","OSC input","","","","","","i"
"/asynth/pong","","","","","","","o"
"/asynth/msg","OSC input","string","","","","","i"
